model,threshold_strategy,selected_threshold,val_precision,val_recall,val_f1,val_accuracy,val_specificity,val_roc_auc,val_pr_auc,val_tn,val_fp,val_fn,val_tp,test_precision,test_recall,test_f1,test_accuracy,test_specificity,test_roc_auc,test_pr_auc,test_tn,test_fp,test_fn,test_tp
IsolationForest,PR_curve_max_F1,0.03675097385021342,0.30434782608695654,0.22580645161290322,0.25925925436899866,0.936608557844691,0.9733333333333334,0.6604301075268818,0.17573438465801883,584,16,24,7,0.4117647058823529,0.21875,0.2857142857142857,0.944620253164557,0.9833333333333333,0.7078125000000001,0.2162643556081308,590,10,25,7
LocalOutlierFactor,PR_curve_max_F1,0.12474789670767694,0.7692307692307693,0.3225806451612903,0.45454545038223143,0.9619651347068146,0.995,0.7308064516129033,0.3836205218833012,597,3,21,10,0.6153846153846154,0.25,0.35555555555555557,0.9541139240506329,0.9916666666666667,0.7686979166666665,0.35342399883668,595,5,24,8
OneClassSVM,PR_curve_max_F1,3.548072665370393,0.45,0.2903225806451613,0.3529411717031911,0.9477020602218701,0.9816666666666667,0.6776344086021506,0.275670145676718,589,11,22,9,0.36363636363636365,0.25,0.2962962962962963,0.939873417721519,0.9766666666666667,0.7124999999999999,0.2689504948245341,586,14,24,8
Autoencoder,PR_curve_max_F1,0.8193074,0.5555555555555556,0.16129032258064516,0.24999999651250004,0.9524564183835182,0.9933333333333333,0.6547311827956989,0.21321116903648168,596,4,26,5,0.35714285714285715,0.15625,0.21739130434782608,0.9430379746835443,0.985,0.6774999999999999,0.20459361322617514,591,9,27,5
VAE_64_32_8_bs16,PR_curve_max_F1,1.1804647,0.5625,0.2903225806451613,0.38297871891353563,0.9540412044374009,0.9883333333333333,0.6898924731182796,0.3414079654886526,593,7,22,9,0.43478260869565216,0.3125,0.36363636363636365,0.944620253164557,0.9783333333333334,0.7555729166666667,0.36498854019854393,587,13,22,10
